nohup: ignoring input
 INFO  Accepting connections at http://localhost:3000
 HTTP  4/25/2024 8:07:56 AM 127.0.0.1 GET /manifest.json
 HTTP  4/25/2024 8:07:56 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 8:07:57 AM 127.0.0.1 GET /kdd_logo_r.png
 HTTP  4/25/2024 8:07:57 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 8:11:27 AM 127.0.0.1 GET /kdd_logo_r.png
 HTTP  4/25/2024 8:11:27 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 8:11:27 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  4/25/2024 8:11:27 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  4/25/2024 8:11:27 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 8:11:27 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 8:11:27 AM 127.0.0.1 GET /inha_logo_p.png
 HTTP  4/25/2024 8:11:27 AM 127.0.0.1 GET /kdd_logo_p.png
 HTTP  4/25/2024 8:11:27 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 8:11:27 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 8:11:28 AM 127.0.0.1 GET /cohesion
 HTTP  4/25/2024 8:11:28 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 8:11:28 AM 127.0.0.1 GET /static/js/main.c3bf510d.js
 HTTP  4/25/2024 8:11:28 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  4/25/2024 8:11:28 AM 127.0.0.1 GET /static/css/main.0fba13fd.css
 HTTP  4/25/2024 8:11:28 AM 127.0.0.1 GET /dist/output.css
 HTTP  4/25/2024 8:11:28 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 8:11:28 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  4/25/2024 8:11:28 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 8:11:28 AM 127.0.0.1 GET /kdd_logo_r.png
 HTTP  4/25/2024 8:11:28 AM 127.0.0.1 Returned 304 in 4 ms
 HTTP  4/25/2024 8:11:28 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 8:11:28 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 8:11:28 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 8:11:28 AM 127.0.0.1 GET /kdd_logo_p.png
 HTTP  4/25/2024 8:11:28 AM 127.0.0.1 GET /inha_logo_p.png
 HTTP  4/25/2024 8:11:28 AM 127.0.0.1 Returned 304 in 0 ms
 HTTP  4/25/2024 8:11:28 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 8:11:35 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 8:11:35 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 8:11:35 AM 127.0.0.1 GET /kdd_logo_r.png
 HTTP  4/25/2024 8:11:35 AM 127.0.0.1 Returned 304 in 0 ms
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 GET /
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 GET /dist/output.css
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 GET /static/css/main.0fba13fd.css
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 GET /static/js/main.c3bf510d.js
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 GET /static/css/main.0fba13fd.css.map
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 GET /static/js/main.c3bf510d.js.map
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 GET /kdd_logo_p.png
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 GET /inha_logo_p.png
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 Returned 304 in 0 ms
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 Returned 304 in 0 ms
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  4/25/2024 8:26:43 AM 127.0.0.1 GET /manifest.json
 HTTP  4/25/2024 8:26:43 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 8:26:43 AM 127.0.0.1 GET /kdd_logo_r.png
 HTTP  4/25/2024 8:26:43 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:48:35 AM 127.0.0.1 GET /morpheme
 HTTP  4/25/2024 9:48:35 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:48:35 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 9:48:35 AM 127.0.0.1 GET /kdd_logo_r.png
 HTTP  4/25/2024 9:48:35 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:48:35 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  4/25/2024 9:51:32 AM 127.0.0.1 GET /
 HTTP  4/25/2024 9:51:32 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:51:32 AM 127.0.0.1 GET /dist/output.css
 HTTP  4/25/2024 9:51:32 AM 127.0.0.1 GET /static/js/bundle.js
 HTTP  4/25/2024 9:51:32 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:51:32 AM 127.0.0.1 GET /static/css/main.0fba13fd.css
 HTTP  4/25/2024 9:51:32 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  4/25/2024 9:51:32 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:51:32 AM 127.0.0.1 GET /static/js/main.c3bf510d.js
 HTTP  4/25/2024 9:51:32 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 9:51:32 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  4/25/2024 9:51:32 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  4/25/2024 9:51:32 AM 127.0.0.1 GET /inha_logo_p.png
 HTTP  4/25/2024 9:51:32 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  4/25/2024 9:51:32 AM 127.0.0.1 GET /kdd_logo_p.png
 HTTP  4/25/2024 9:51:32 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:51:32 AM 127.0.0.1 GET /manifest.json
 HTTP  4/25/2024 9:51:32 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:53:47 AM 127.0.0.1 GET /
 HTTP  4/25/2024 9:53:47 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  4/25/2024 9:53:47 AM 127.0.0.1 GET /manifest.json
 HTTP  4/25/2024 9:53:47 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:53:47 AM 127.0.0.1 GET /dist/output.css
 HTTP  4/25/2024 9:53:47 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  4/25/2024 9:53:47 AM 127.0.0.1 GET /static/css/main.9553071d.css
 HTTP  4/25/2024 9:53:47 AM 127.0.0.1 GET /static/js/main.c3bf510d.js
 HTTP  4/25/2024 9:53:47 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 9:53:47 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  4/25/2024 9:53:47 AM 127.0.0.1 Returned 304 in 3 ms
 HTTP  4/25/2024 9:53:47 AM 127.0.0.1 GET /kdd_logo_p.png
 HTTP  4/25/2024 9:53:47 AM 127.0.0.1 GET /inha_logo_p.png
 HTTP  4/25/2024 9:53:47 AM 127.0.0.1 Returned 304 in 5 ms
 HTTP  4/25/2024 9:53:47 AM 127.0.0.1 Returned 304 in 3 ms
 HTTP  4/25/2024 9:53:47 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  4/25/2024 9:54:41 AM 127.0.0.1 GET /
 HTTP  4/25/2024 9:54:41 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 GET /manifest.json
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 GET /static/js/main.c3bf510d.js
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 GET /dist/output.css
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 Returned 304 in 3 ms
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 GET /static/css/main.66753a51.css
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 GET /kdd_logo_p.png
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 GET /inha_logo_p.png
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 Returned 304 in 3 ms
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 Returned 304 in 3 ms
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 Returned 304 in 3 ms
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 GET /morpheme
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 GET /static/css/main.66753a51.css
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 GET /dist/output.css
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 GET /static/js/main.c3bf510d.js
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 Returned 304 in 0 ms
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 GET /static/css/main.66753a51.css.map
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 GET /static/js/main.c3bf510d.js.map
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 Returned 304 in 5 ms
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 GET /kdd_logo_p.png
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 GET /inha_logo_p.png
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 GET /manifest.json
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 Returned 304 in 0 ms
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 GET /kdd_logo_r.png
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 GET /morpheme
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 GET /dist/output.css
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 GET /static/css/main.66753a51.css
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 GET /static/js/main.c3bf510d.js
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 Returned 304 in 0 ms
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 GET /static/css/main.66753a51.css.map
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 GET /static/js/main.c3bf510d.js.map
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 GET /kdd_logo_p.png
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 GET /inha_logo_p.png
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 Returned 304 in 0 ms
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 GET /manifest.json
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 GET /kdd_logo_r.png
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:21 AM 127.0.0.1 GET /static/css/main.66753a51.css
 HTTP  4/25/2024 9:56:21 AM 127.0.0.1 GET /dist/output.css
 HTTP  4/25/2024 9:56:21 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  4/25/2024 9:56:21 AM 127.0.0.1 GET /manifest.json
 HTTP  4/25/2024 9:56:21 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:21 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  4/25/2024 9:56:21 AM 127.0.0.1 GET /static/js/main.c3bf510d.js.map
 HTTP  4/25/2024 9:56:21 AM 127.0.0.1 Returned 304 in 0 ms
 HTTP  4/25/2024 9:56:21 AM 127.0.0.1 GET /static/css/main.66753a51.css.map
 HTTP  4/25/2024 9:56:21 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:58:05 AM 127.0.0.1 GET /
 HTTP  4/25/2024 9:58:05 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:58:06 AM 127.0.0.1 GET /manifest.json
 HTTP  4/25/2024 9:58:06 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:58:06 AM 127.0.0.1 GET /dist/output.css
 HTTP  4/25/2024 9:58:06 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  4/25/2024 9:58:06 AM 127.0.0.1 GET /static/js/main.c3bf510d.js
 HTTP  4/25/2024 9:58:06 AM 127.0.0.1 GET /static/css/main.9a12d5ce.css
 HTTP  4/25/2024 9:58:06 AM 127.0.0.1 GET /static/js/main.66349a49.js
 HTTP  4/25/2024 9:58:06 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 9:58:06 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  4/25/2024 9:58:06 AM 127.0.0.1 GET /inha_logo_p.png
 HTTP  4/25/2024 9:58:06 AM 127.0.0.1 GET /kdd_logo_p.png
 HTTP  4/25/2024 9:58:06 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  4/25/2024 9:58:06 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  4/25/2024 9:58:06 AM 127.0.0.1 Returned 304 in 3 ms
 HTTP  4/25/2024 9:58:06 AM 127.0.0.1 Returned 200 in 5 ms
 HTTP  4/25/2024 9:58:06 AM 127.0.0.1 Returned 304 in 4 ms
 HTTP  4/25/2024 9:58:26 AM 127.0.0.1 GET /morpheme
 HTTP  4/25/2024 9:58:26 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:58:26 AM 127.0.0.1 GET /static/css/main.9a12d5ce.css
 HTTP  4/25/2024 9:58:26 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:58:26 AM 127.0.0.1 GET /dist/output.css
 HTTP  4/25/2024 9:58:26 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  4/25/2024 9:58:26 AM 127.0.0.1 GET /static/js/main.66349a49.js
 HTTP  4/25/2024 9:58:26 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:58:26 AM 127.0.0.1 GET /static/css/main.9a12d5ce.css.map
 HTTP  4/25/2024 9:58:26 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:58:26 AM 127.0.0.1 GET /static/js/main.66349a49.js.map
 HTTP  4/25/2024 9:58:26 AM 127.0.0.1 Returned 200 in 5 ms
 HTTP  4/25/2024 9:58:26 AM 127.0.0.1 GET /kdd_logo_p.png
 HTTP  4/25/2024 9:58:26 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:58:26 AM 127.0.0.1 GET /inha_logo_p.png
 HTTP  4/25/2024 9:58:26 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:58:26 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 9:58:26 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:58:26 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 9:58:26 AM 127.0.0.1 Returned 304 in 0 ms
 HTTP  4/25/2024 9:58:26 AM 127.0.0.1 GET /manifest.json
 HTTP  4/25/2024 9:58:26 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:58:26 AM 127.0.0.1 GET /kdd_logo_r.png
 HTTP  4/25/2024 9:58:26 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:59:24 AM 127.0.0.1 GET /morpheme
 HTTP  4/25/2024 9:59:24 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  4/25/2024 9:59:24 AM 127.0.0.1 GET /static/css/main.e6a24495.css
 HTTP  4/25/2024 9:59:24 AM 127.0.0.1 GET /dist/output.css
 HTTP  4/25/2024 9:59:24 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:59:24 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:59:24 AM 127.0.0.1 GET /static/js/main.fe29847d.js
 HTTP  4/25/2024 9:59:24 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  4/25/2024 9:59:24 AM 127.0.0.1 GET /static/css/main.e6a24495.css.map
 HTTP  4/25/2024 9:59:24 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:59:24 AM 127.0.0.1 GET /static/js/main.fe29847d.js.map
 HTTP  4/25/2024 9:59:24 AM 127.0.0.1 Returned 200 in 6 ms
 HTTP  4/25/2024 9:59:24 AM 127.0.0.1 GET /kdd_logo_p.png
 HTTP  4/25/2024 9:59:24 AM 127.0.0.1 GET /inha_logo_p.png
 HTTP  4/25/2024 9:59:24 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 9:59:24 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  4/25/2024 9:59:24 AM 127.0.0.1 Returned 304 in 4 ms
 HTTP  4/25/2024 9:59:24 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  4/25/2024 9:59:24 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 9:59:24 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:59:24 AM 127.0.0.1 GET /manifest.json
 HTTP  4/25/2024 9:59:24 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:59:24 AM 127.0.0.1 GET /kdd_logo_r.png
 HTTP  4/25/2024 9:59:24 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:59:31 AM 127.0.0.1 GET /
 HTTP  4/25/2024 9:59:31 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:59:31 AM 127.0.0.1 GET /dist/output.css
 HTTP  4/25/2024 9:59:31 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:59:31 AM 127.0.0.1 GET /static/js/main.fe29847d.js
 HTTP  4/25/2024 9:59:31 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  4/25/2024 9:59:31 AM 127.0.0.1 GET /static/css/main.e6a24495.css
 HTTP  4/25/2024 9:59:31 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 9:59:31 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:59:31 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:59:31 AM 127.0.0.1 GET /inha_logo_p.png
 HTTP  4/25/2024 9:59:31 AM 127.0.0.1 GET /kdd_logo_p.png
 HTTP  4/25/2024 9:59:31 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:59:31 AM 127.0.0.1 GET /manifest.json
 HTTP  4/25/2024 9:59:31 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:59:31 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 GET /morpheme
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 GET /static/css/main.e6a24495.css
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 GET /dist/output.css
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 GET /static/js/main.2f63859d.js
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 GET /static/css/main.e6a24495.css.map
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 GET /static/js/main.2f63859d.js.map
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 Returned 200 in 5 ms
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 GET /kdd_logo_p.png
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 GET /inha_logo_p.png
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 10:01:02 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 10:01:03 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 10:01:03 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 10:01:03 AM 127.0.0.1 GET /manifest.json
 HTTP  4/25/2024 10:01:03 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 10:01:03 AM 127.0.0.1 GET /kdd_logo_r.png
